Yaw,Roll,Pitch,ax,ay,az
264.8125,-16.5625,65.9375,-0.16,-0.07,0
264.8125,-16.5625,65.9375,-0.15,-0.05,0
264.8125,-16.5625,65.9375,-0.18,-0.04,0.04
264.8125,-16.5625,65.9375,-0.15,-0.04,0.02
264.8125,-16.5625,65.9375,-0.12,-0.06,0.05
264.8125,-16.5625,65.9375,-0.12,-0.05,0.02
264.8125,-16.5625,65.9375,-0.19,-0.05,0.02
264.8125,-16.5625,65.9375,-0.17,-0.07,0.03
264.8125,-16.5625,65.9375,-0.18,-0.08,0
264.8125,-16.5625,65.9375,-0.18,-0.05,0
264.8125,-16.5625,65.9375,-0.13,-0.07,0.05
264.8125,-16.5625,65.9375,-0.14,-0.05,0.04
264.8125,-16.5625,65.9375,-0.17,-0.04,0.01
264.75,-16.5625,65.9375,-0.23,0.14,0.52
264.5625,-16.375,65.875,-0.13,2.74,-1.57
265.125,-15.9375,65.3125,-0.3,-2.04,1.97
265.8125,-15.5,64.9375,1.51,-1.68,-0.22
265.5,-15.5625,64.5,-2.04,0.14,0.84
265.25,-15.6875,64.5625,-1.55,0.5,0.27
265.5625,-15.4375,64.5625,0.69,0.4,-1.18
265.625,-15.3125,64.3125,0.15,-1.16,-1.1
265.625,-15.1875,63.875,-0.64,0.56,0.57
265.8125,-14.9375,63.5,0.69,-0.45,0.75
266.125,-14.75,63.4375,0.23,-0.42,0.7
265.6875,-15.3125,64,-0.19,0.19,0.19
265.375,-15.8125,64.5,-0.48,0.23,-0.3
265.1875,-16.125,64.875,-0.72,0.05,-0.85
265.0625,-16.25,65.0625,-0.96,0.19,-0.82
265.1875,-16.0625,65,-0.66,0.23,-0.57
265.4375,-15.625,64.6875,0.35,-0.24,0.6
265.8125,-15.25,64.4375,0.72,-0.55,0.76
265.6875,-15.25,64.6875,0.29,-0.07,0.29
265.3125,-15.6875,65.0625,-0.31,0.16,0
265.125,-16,65.4375,-0.68,0.06,-0.42
265,-16.125,65.6875,-1.05,0.34,-0.84
265.0625,-15.9375,65.625,-0.95,0.47,-0.38
265.4375,-15.4375,65.4375,0.48,-0.71,1.02
265.75,-15.0625,65.25,0.03,-0.82,1.12
265.1875,-15.625,65.375,0.51,0.74,-0.05
264.75,-16.125,65.75,-0.15,-0.23,0.13
264.5625,-16.375,66.125,-0.26,0,-0.88
264.375,-16.4375,66.25,-0.54,-0.07,-0.75
264.4375,-16.375,66.125,-0.29,0.33,-0.44
264.8125,-16.3125,65.8125,0.43,-0.64,1.06
265.1875,-16.5,65.875,0.12,-0.72,0.09
264.8125,-16.875,66.125,-0.27,0.47,-0.69
264.5625,-17.0625,66.1875,-1.29,0.44,-0.76
264.75,-16.875,66,-0.27,0.27,-0.35
265.125,-16.4375,65.6875,0.17,-0.17,0.32
265.375,-16.125,65.5,0.69,-0.37,0.54
265.4375,-16,65.5625,-0.01,-0.33,0.04
264.8125,-16.625,66.25,-0.47,0.26,-0.51
264.5625,-17,66.4375,-0.73,0.54,-0.71
264.5625,-17.0625,66.5,-0.5,-0.07,-0.55
264.75,-16.9375,66.3125,-0.13,-0.03,-0.49
264.9375,-16.6875,66,-0.25,0.03,0.06
265.125,-16.375,65.6875,0.68,-0.51,0.73
265.375,-16.1875,65.5,0.52,-0.52,0.43
265.0625,-16.4375,65.9375,-0.01,-0.04,0.12
264.75,-16.75,66.25,-0.57,0.26,-0.2
264.625,-16.9375,66.4375,-0.51,0.1,-0.79
264.6875,-16.9375,66.4375,-0.37,-0.01,-0.61
264.8125,-16.75,66.1875,4.3,4.42,16.3
265.3125,-16.375,66.75,10.1,-8.54,2.61
266.5625,-16.5625,71.4375,7.7,-6.44,-9
258.4375,-25,80.4375,-1.06,4.14,-9.61
255.75,-26.0625,79.375,-9.16,12.4,-3.85
259.125,-21.5625,74.9375,-10.47,0.08,0.02
262.875,-18.25,72.5,-2.55,-3,5.4
265.75,-16.6875,71.875,3.9,-2.84,7.73
265.5625,-18.1875,72.8125,4.37,0.74,-10.67
263.5,-20.3125,72.0625,-1.48,0.74,-12.21
264.4375,-18.5,68.5,-7.47,2.95,-3.28
266.9375,-16.1875,64.25,1.25,1.03,5.14
269.25,-14.25,60.4375,3.73,-1.67,5.4
270.5,-13.625,57.8125,-0.15,-1.19,1.7
270.4375,-14.3125,56.25,0.07,0.53,3.64
271.5625,-13.5625,53.5625,1.56,1.64,4.79
272.4375,-12.8125,52.1875,4.69,-1.12,1.43
272.5,-12.3125,51.875,0.45,3.42,3.84
272.4375,-11.5625,51.8125,1.95,2.78,0.78
272.0625,-11.125,51.5,1.53,3.05,-0.49
271.6875,-10.375,50.8125,-2,5.82,-2.36
271.125,-9.8125,49.8125,-2.95,5.9,-2.31
269.4375,-9.8125,46.5625,-3.54,5.79,-1.98
268.75,-10.1875,43.875,-3.8,3.41,0.15
268.0625,-11,40.8125,-4.42,-4.13,2.58
268.0625,-11.25,37.4375,-6.02,-12.4,5.63
269.375,-10.75,34.4375,1.29,-3.35,3.03
268.875,-12.0625,33.375,1.89,-2.19,1.95
267.25,-14.0625,33.5625,1.91,0.73,1.89
267.625,-13.3125,33,1.98,1.93,0.85
266.6875,-13.5,33,-1.16,3.02,1.27
266.5,-12.6875,32.3125,-0.78,4.03,-0.24
266.4375,-11.9375,31.0625,-1.95,3.45,0.08
265.75,-11.8125,29.625,-2.16,2.22,0.14
265.8125,-11.3125,27.6875,-2,0.3,0.53
265.5625,-10.8125,23.4375,-1.19,-0.96,0.31
265.6875,-10.5,21.25,-0.85,-2.02,1.27
265.75,-10.375,19.5,-0.73,-2.84,1.39
265.5625,-10.5,18.3125,-0.88,-2.88,1.83
265.5625,-10.5,17.5625,-0.49,-2.01,1.73
265.3125,-10.75,17.1875,-0.5,-1.5,1.7
265.0625,-10.875,17.1875,-0.56,-0.96,1.75
264.8125,-11.0625,17.4375,-0.07,-1.02,1.04
264.875,-11.0625,17.6875,0.01,0.4,0.7
265.0625,-11,17.875,0.28,0.6,0.27
265.125,-10.9375,18.0625,0.05,1.1,0.39
265.25,-10.75,18.125,0.37,1.43,0.08
265.4375,-10.625,18.125,0.58,1.92,-0.11
265.3125,-10.375,17.6875,0.67,2.27,-0.21
265.125,-10.3125,17.25,0.22,1.79,0.26
264.75,-10.25,16.625,0.4,0.47,0.78
264.5625,-10.125,15.8125,0.88,-0.12,0.61
264.25,-10.125,15.125,1.07,-0.36,-0.03
263.875,-9.9375,14.6875,0.29,0.19,-0.18
263.5625,-9.6875,14.4375,-0.41,0.94,-0.4
262.625,-9.125,14.75,-0.71,1.85,-0.47
