Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z
25000,-0.03,0.01,9.62,0.0,-0.0,0.0,73.25,9.38,34.38
25006,-0.03,0.02,9.55,-0.0,-0.0,0.0,73.25,9.38,34.38
25008,-0.03,0.02,9.55,-0.0,-0.0,0.0,73.25,9.38,34.38
25009,-0.03,0.02,9.55,-0.0,-0.0,0.0,73.25,9.38,34.38
25016,-0.04,0.03,9.55,0.0,0.0,-0.0,73.25,9.38,34.38
25017,-0.04,0.03,9.55,0.0,0.0,-0.0,73.25,9.38,34.38
25019,-0.04,0.03,9.55,0.0,0.0,-0.0,73.25,9.38,34.38
25025,-0.03,0.03,9.59,-0.0,0.0,-0.0,73.25,9.38,34.38
25027,-0.03,0.03,9.59,-0.0,0.0,-0.0,73.25,9.38,34.38
25029,-0.03,0.03,9.59,-0.0,0.0,-0.0,73.25,9.38,34.38
25031,-0.03,0.03,9.59,-0.0,0.0,-0.0,73.25,9.38,34.38
25032,-0.03,0.03,9.59,-0.0,0.0,-0.0,73.25,9.38,34.38
25035,-0.03,0.0,9.61,-0.0,0.0,-0.0,73.25,9.69,34.0
25037,-0.03,0.0,9.61,-0.0,0.0,-0.0,73.25,9.69,34.0
25039,-0.03,0.0,9.61,-0.0,0.0,-0.0,73.25,9.69,34.0
25042,-0.03,0.0,9.61,-0.0,0.0,-0.0,73.25,9.69,34.0
25046,-0.02,0.0,9.59,0.0,0.0,-0.0,73.25,9.69,34.0
25048,-0.02,0.0,9.59,0.0,0.0,-0.0,73.25,9.69,34.0
25050,-0.02,0.0,9.59,0.0,0.0,-0.0,73.25,9.69,34.0
25056,-0.04,0.0,9.57,0.0,0.0,0.0,73.25,9.69,34.0
25058,-0.04,0.0,9.57,0.0,0.0,0.0,73.25,9.69,34.0
25059,-0.04,0.0,9.57,0.0,0.0,0.0,73.25,9.69,34.0
25066,-0.05,0.0,9.6,0.0,-0.0,0.0,73.25,9.69,34.0
25067,-0.05,0.0,9.6,0.0,-0.0,0.0,73.25,9.69,34.0
25069,-0.05,0.0,9.6,0.0,-0.0,0.0,73.25,9.69,34.0
25073,-0.05,0.0,9.6,0.0,-0.0,0.0,73.25,9.69,34.0
25077,-0.05,0.0,9.59,0.0,-0.0,0.0,73.25,9.69,34.0
25078,-0.05,0.0,9.59,0.0,-0.0,0.0,73.25,9.69,34.0
25080,-0.05,0.0,9.59,0.0,-0.0,0.0,73.25,9.69,34.0
25082,-0.05,0.0,9.59,0.0,-0.0,0.0,73.25,9.69,34.0
25084,-0.05,0.0,9.59,0.0,-0.0,0.0,73.69,9.69,33.56
25087,-0.06,-0.02,9.56,0.0,-0.0,0.0,73.69,9.69,33.56
25088,-0.06,-0.02,9.56,0.0,-0.0,0.0,73.69,9.69,33.56
25090,-0.06,-0.02,9.56,0.0,-0.0,0.0,73.69,9.69,33.56
25096,-0.04,-0.03,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25098,-0.04,-0.03,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25099,-0.04,-0.03,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25106,-0.04,0.0,9.59,0.0,-0.0,0.0,73.69,9.69,33.56
25107,-0.04,0.0,9.59,0.0,-0.0,0.0,73.69,9.69,33.56
25109,-0.04,0.0,9.59,0.0,-0.0,0.0,73.69,9.69,33.56
25115,-0.03,-0.01,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25117,-0.03,-0.01,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25119,-0.03,-0.01,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25122,-0.03,-0.01,9.55,-0.0,0.0,0.0,73.69,9.69,33.56
25126,-0.03,0.0,9.53,-0.0,0.0,0.0,73.69,9.69,33.56
25128,-0.03,0.0,9.53,-0.0,0.0,0.0,73.69,9.69,33.56
25130,-0.03,0.0,9.53,-0.0,0.0,0.0,73.69,9.69,33.56
25131,-0.03,0.0,9.53,-0.0,0.0,0.0,73.69,9.69,33.56
25133,-0.03,0.0,9.53,0.0,0.0,-0.0,73.69,10.06,34.38
25136,-0.04,0.0,9.62,0.0,0.0,-0.0,73.69,10.06,34.38
25138,-0.04,0.0,9.62,0.0,0.0,-0.0,73.69,10.06,34.38
25140,-0.04,0.0,9.62,0.0,0.0,-0.0,73.69,10.06,34.38
25146,-0.03,0.01,9.6,0.0,-0.0,-0.0,73.69,10.06,34.38
25147,-0.03,0.01,9.6,0.0,-0.0,-0.0,73.69,10.06,34.38
25149,-0.03,0.01,9.6,0.0,-0.0,-0.0,73.69,10.06,34.38
25156,-0.05,0.0,9.54,0.0,-0.0,-0.0,73.69,10.06,34.38
25157,-0.05,0.0,9.54,0.0,-0.0,-0.0,73.69,10.06,34.38
25159,-0.05,0.0,9.54,0.0,-0.0,-0.0,73.69,10.06,34.38
25165,-0.04,0.0,9.56,0.0,-0.0,0.0,73.69,10.06,34.38
25167,-0.04,0.0,9.56,0.0,-0.0,0.0,73.69,10.06,34.38
25169,-0.04,0.0,9.56,0.0,-0.0,0.0,73.69,10.06,34.38
25173,-0.04,0.0,9.56,0.0,0.0,-0.0,73.69,10.06,34.38
25177,-0.04,0.0,9.61,0.0,0.0,-0.0,73.69,10.06,34.38
25178,-0.04,0.0,9.61,0.0,0.0,-0.0,73.69,10.06,34.38
25180,-0.04,0.0,9.61,0.0,0.0,-0.0,73.69,10.06,34.38
25182,-0.04,0.0,9.61,0.0,0.0,-0.0,73.69,10.06,34.38
25184,-0.04,0.0,9.61,0.0,0.0,-0.0,72.87,9.38,32.25
25187,-0.06,0.02,9.59,0.0,0.0,-0.0,72.87,9.38,32.25
25188,-0.06,0.02,9.59,0.0,0.0,-0.0,72.87,9.38,32.25
25190,-0.06,0.02,9.59,0.0,0.0,-0.0,72.87,9.38,32.25
25196,-0.02,0.02,9.56,-0.0,0.0,0.0,72.87,9.38,32.25
25198,-0.02,0.02,9.56,-0.0,0.0,0.0,72.87,9.38,32.25
25199,-0.02,0.02,9.56,-0.0,0.0,0.0,72.87,9.38,32.25
25206,-0.03,0.02,9.58,0.0,0.0,-0.0,72.87,9.38,32.25
25208,-0.03,0.02,9.58,0.0,0.0,-0.0,72.87,9.38,32.25
25209,-0.03,0.02,9.58,0.0,0.0,-0.0,72.87,9.38,32.25
25216,-0.03,0.0,9.61,-0.0,0.0,0.0,72.87,9.38,32.25
25217,-0.03,0.0,9.61,-0.0,0.0,0.0,72.87,9.38,32.25
25219,-0.03,0.0,9.61,-0.0,0.0,0.0,72.87,9.38,32.25
25225,-0.03,-0.01,9.55,0.0,0.0,0.0,72.87,9.38,32.25
25227,-0.03,-0.01,9.55,0.0,0.0,0.0,72.87,9.38,32.25
25229,-0.03,-0.01,9.55,0.0,0.0,0.0,72.87,9.38,32.25
25231,-0.03,-0.01,9.55,0.0,0.0,0.0,72.87,9.38,32.25
25232,-0.03,-0.01,9.55,0.0,0.0,0.0,72.87,9.38,32.25
25236,-0.05,0.0,9.58,0.0,-0.0,0.0,73.69,10.06,34.75
25238,-0.05,0.0,9.58,0.0,-0.0,0.0,73.69,10.06,34.75
25239,-0.05,0.0,9.58,0.0,-0.0,0.0,73.69,10.06,34.75
25246,-0.04,0.0,9.58,-0.0,0.0,-0.0,73.69,10.06,34.75
25247,-0.04,0.0,9.58,-0.0,0.0,-0.0,73.69,10.06,34.75
25249,-0.04,0.0,9.58,-0.0,0.0,-0.0,73.69,10.06,34.75
