Yaw,Roll,Pitch,ax,ay,az
0,-2.75,49.9375,-0.02,0.02,-0.02
0,-2.75,49.9375,-0.04,0.02,-0.03
0,-2.75,49.9375,-0.03,0.01,0
0,-2.75,49.9375,-0.04,0.02,0
0,-2.75,49.9375,-0.03,0,0
0,-2.75,49.9375,-0.06,0,0
0,-2.75,49.9375,-0.04,0.02,-0.01
0,-2.75,49.9375,-0.03,0,-0.01
0,-2.75,49.9375,-0.05,0,-0.03
0,-2.75,49.9375,-0.03,0.02,-0.02
0,-2.75,49.9375,-0.04,0,-0.02
0,-2.75,49.9375,-0.03,0,0
0,-2.75,49.9375,-0.04,0.02,-0.01
0,-2.75,49.9375,-0.05,0.01,-0.02
0,-2.75,49.9375,-0.04,0.01,0
0,-2.75,49.9375,-0.04,0.01,0
0,-2.75,49.9375,-0.03,0.01,0.02
0,-2.75,49.9375,-0.04,0.05,0
0,-2.75,49.9375,0.03,-0.23,0
0,-2.75,49.9375,-0.07,0.05,0.07
0,-2.75,49.9375,-0.11,0.05,-0.07
0,-2.75,49.9375,0.02,0.11,0.02
0,-2.75,49.9375,0.14,0.19,-0.14
0,-2.75,49.9375,-0.1,-0.02,0
359.9375,-2.75,49.9375,-0.13,-0.03,0
0,-2.75,49.9375,0.05,-0.13,0.1
0,-2.75,49.9375,-0.04,0.06,0
0,-2.75,49.9375,-0.01,0.08,-0.04
0,-2.75,49.9375,-0.02,0.02,-0.08
359.9375,-2.75,49.9375,-0.04,0,0
0,-2.75,49.9375,-0.01,0.02,0.01
0,-2.75,49.9375,0.03,0,0.06
0,-2.75,49.9375,-0.03,0.05,-0.02
359.9375,-2.75,49.9375,-0.06,0.03,-0.1
359.9375,-2.75,49.9375,-0.01,0.03,0.02
359.9375,-2.75,49.9375,0,0.01,0.05
359.9375,-2.75,49.9375,-0.04,0.01,0.04
359.9375,-2.75,49.9375,-0.03,0,-0.03
359.9375,-2.75,49.9375,-0.05,0.03,-0.05
359.9375,-2.75,49.9375,-0.03,0,0
359.9375,-2.75,49.9375,-0.02,0,0
359.9375,-2.75,49.9375,-0.02,0,0.02
359.9375,-2.75,49.9375,-0.04,0.01,0.01
