Yaw,Roll,Pitch,x,y,z
213,-0.625,-4.3125,-0.015,-0.030588,-0.0085
213,-0.625,-4.3125,-0.008862,-0.028578,-0.017456
213,-0.625,-4.375,-0.019651,-0.034915,-0.029523
213,-0.625,-4.375,-0.026755,-0.041296,-0.026153
213,-0.625,-4.375,-0.022423,-0.031242,-0.01947
213,-0.625,-4.375,-0.018216,-0.02437,-0.014588
213,-0.625,-4.3125,-0.01404,-0.017906,-0.01089
213,-0.625,-4.3125,-0.016048,-0.021627,-0.012208
213,-0.625,-4.3125,-0.016306,-0.022959,-0.015273
213,-0.625,-4.3125,-0.017937,-0.026272,-0.016092
213,-0.625,-4.3125,-0.018769,-0.027299,-0.015626
213,-0.625,-4.25,-0.018471,-0.026271,-0.016709
213,-0.625,-4.25,-0.018238,-0.022648,-0.017242
213,-0.625,-4.25,-0.018543,-0.020573,-0.014234
213,-0.625,-4.25,-0.01477,-0.019518,-0.010846
213,-0.625,-4.25,-0.016442,-0.020609,-0.010189
213,-0.625,-4.25,-0.013265,-0.020827,-0.011556
213,-0.625,-4.25,-0.015694,-0.023412,-0.017719
213,-0.625,-4.25,-0.02007,-0.028006,-0.019951
213,-0.625,-4.25,-0.01889,-0.028808,-0.01944
213,-0.625,-4.25,-0.017291,-0.028898,-0.018937
213,-0.625,-4.25,-0.014397,-0.026186,-0.020685
213,-0.625,-4.25,-0.021758,-0.034169,-0.025649
213,-0.625,-4.25,-0.027321,-0.037243,-0.029671
213,-0.625,-4.25,-0.027442,-0.038246,-0.032811
213,-0.625,-4.3125,-0.032502,-0.040217,-0.032976
213,-0.625,-4.3125,-0.03582,-0.042227,-0.033902
213,-0.625,-4.3125,-0.037709,-0.043021,-0.032627
213,-0.625,-4.3125,-0.035597,-0.039129,-0.031304
213,-0.625,-4.3125,-0.033225,-0.036768,-0.025824
213,-0.625,-4.3125,-0.028329,-0.031433,-0.020917
213,-0.625,-4.3125,-0.020822,-0.022623,-0.014393
213,-0.625,-4.3125,-0.014927,-0.018009,-0.013882
213,-0.625,-4.3125,-0.013548,-0.01566,-0.011344
213,-0.625,-4.3125,-0.012824,-0.015651,-0.008427
213,-0.625,-4.3125,-0.007731,-0.011004,-0.005503
213,-0.625,-4.3125,-0.006681,-0.010025,-0.004606
213,-0.625,-4.3125,-0.005854,-0.009259,-0.003896
213,-0.625,-4.3125,-0.007631,-0.013514,-0.008107
213,-0.625,-4.3125,-0.010899,-0.015935,-0.011939
213,-0.625,-4.3125,-0.013506,-0.020638,-0.011762
213,-0.625,-4.3125,-0.015425,-0.024266,-0.012835
213,-0.625,-4.3125,-0.019092,-0.025713,-0.014222
213,-0.625,-4.3125,-0.018385,-0.025216,-0.013565
213,-0.625,-4.3125,-0.017871,-0.025988,-0.01732
213,-0.625,-4.3125,-0.017631,-0.025198,-0.017159
213,-0.625,-4.3125,-0.018566,-0.024769,-0.018173
213,-0.625,-4.3125,-0.016298,-0.023417,-0.020083
213,-0.625,-4.3125,-0.021999,-0.030911,-0.022974
213,-0.625,-4.3125,-0.021647,-0.02909,-0.01829
213,-0.625,-4.3125,-0.016322,-0.021709,-0.013536
213,-0.625,-4.3125,-0.013168,-0.017617,-0.012194
213,-0.625,-4.3125,-0.012936,-0.016197,-0.014798
213,-0.625,-4.3125,-0.016042,-0.019461,-0.013262
213,-0.625,-4.3125,-0.016308,-0.020697,-0.013999
213,-0.625,-4.3125,-0.018923,-0.023472,-0.014223
213,-0.625,-4.3125,-0.016733,-0.020752,-0.011516
213,-0.625,-4.3125,-0.015334,-0.017715,-0.011487
213,-0.625,-4.3125,-0.013237,-0.014734,-0.006729
213,-0.625,-4.3125,-0.007941,-0.008975,-0.003409
213,-0.625,-4.3125,-0.003963,-0.005222,0.000417
213,-0.625,-4.3125,-0.001204,-0.004165,-0.002329
213,-0.625,-4.3125,-0.002895,-0.004784,-0.003772
213,-0.625,-4.3125,-0.005499,-0.010975,-0.003864
213,-0.625,-4.3125,-0.005123,-0.012196,-0.008759
213,-0.625,-4.3125,-0.008859,-0.012708,-0.009437
213,-0.625,-4.3125,-0.011015,-0.01538,-0.011148
213,-0.625,-4.3125,-0.014188,-0.018527,-0.009893
213,-0.625,-4.3125,-0.016082,-0.024671,-0.020294
213,-0.625,-4.3125,-0.027981,-0.040253,-0.027992
213,-0.625,-4.3125,-0.037793,-0.052716,-0.037847
213,-0.625,-4.3125,-0.045105,-0.060409,-0.039238
