x,y,z
-0.006302046718236777,-0.00410134369899356,0.0004999893282697898
-0.017606142405992144,-0.018205229352593763,-0.014000044509201427
-0.028912288843253874,-0.03231165541231155,-0.02850009653707738
-0.04022048141112404,-0.04642061615643728,-0.04300016671661484
-0.04152885637979972,-0.06553209048732496,-0.06250023786116693
-0.04283742204654331,-0.08464608368728042,-0.08200031772418763
-0.04414617809593163,-0.10376259159012295,-0.10150040629259141
-0.04545540464076446,-0.10788048068479807,-0.10100044481886163
-0.04676506305975029,-0.11199967662371078,-0.10050048515238841
-0.04807515164453209,-0.11612017423742324,-0.10000052728641538
-0.04438473687570155,-0.1252417695434891,-0.11950058006842665
-0.0406938616773121,-0.13436454619830185,-0.13900063264566484
-0.037002526799449244,-0.1434885022773325,-0.15850068501880052
-0.033310732990048414,-0.1526136358615685,-0.17800073718849804
-0.02961866358037809,-0.15673901856369382,-0.20750076222783606
-0.025926335886120196,-0.16086470273923859,-0.23700078645529907
-0.02223375014633727,-0.16499068810916845,-0.26650080987167046
-0.018540906599702287,-0.1691169743949037,-0.29600083247773445
-0.014847805621410961,-0.1732435613078296,-0.32550085427470254
-0.01615499149269105,-0.17737109383653651,-0.31000088423775274
-0.017462398591930998,-0.18149931931983965,-0.2945009151250201
-0.018770026452658805,-0.18562823629661543,-0.2790009469346669
-0.015076616870477075,-0.1847568457289744,-0.27350093781801565
-0.011382189176785745,-0.1838852087288522,-0.26800092577371604
-0.00768674694639039,-0.18301332616152455,-0.2625009108122708
-0.013991892738243555,-0.18714165760094936,-0.2870009378687447
-0.020297654418267874,-0.19127037807608635,-0.3115009681561737
-0.02660403125018702,-0.1953994871218586,-0.3360010016708087
-0.027910667947944633,-0.1995293600357007,-0.3505010295373717
-0.029217550611659093,-0.20365993440367244,-0.365001058437865
-0.030524678712087486,-0.2077912087164717,-0.37950108837017915
-0.03183205172198979,-0.21192318147050818,-0.39400111933220916
-0.03313975640653094,-0.2160562227455624,-0.3835011515214358
-0.0344477533969224,-0.22019016284147527,-0.3730011849340794
-0.03575604189004926,-0.2243249992887371,-0.3625012195669629
-0.03706462108667578,-0.22846072962976635,-0.3520012554169253
-0.03837348990204768,-0.23259735142402171,-0.3415012924796109
-0.0496857588020911,-0.22673212087601052,-0.341001296870059
-0.06100143303018648,-0.2208651205893808,-0.34050132625421903
-0.07232049977241407,-0.2149963572234639,-0.34000138054109275
-0.0636380709866856,-0.2091265096513203,-0.3545013543479604
-0.054954209330283235,-0.2032556782348603,-0.36900132720428436
-0.04626891780473614,-0.19738386503500183,-0.3835012991126875
-0.04258265930536574,-0.19151049114463745,-0.3880012866513719
-0.03889540650778872,-0.18563550306140106,-0.39250127443486227
-0.03520716283701388,-0.17975890634561004,-0.3970012624630582
-0.031518174347391584,-0.18388326243607855,-0.3865012969125675
-0.02782840652399971,-0.18800849569765565,-0.37600132893199756
-0.024137861443449902,-0.19213460379303954,-0.3655013585281065
-0.02044682666484642,-0.2012616517784514,-0.38500141509862595
-0.016755361990787924,-0.21038980097766727,-0.40450147147736903
-0.013063468075340125,-0.2195190497152471,-0.42400152766492016
-0.009371145570817634,-0.22864939632023648,-0.4435015836618602
-0.005678395127790679,-0.23778083912614925,-0.46300163946877004
-0.011987394199614993,-0.2419134880983801,-0.46750168655650814
-0.018298114024571786,-0.246047240441756,-0.4720017426364026
-0.024610548784929357,-0.2501820924258775,-0.4765018076789197
-0.025923353132577782,-0.2543180393770111,-0.4810018612937478
-0.027236525825268473,-0.2584550777678181,-0.4855019164558635
-0.028550065628106514,-0.26259320393921054,-0.490001973160357
-0.024862643518202863,-0.27173374100239855,-0.4945020550506293
-0.021174262869937177,-0.28087668108737146,-0.49900213646610714
-0.017484926870847555,-0.2900220162030856,-0.5035022174097598
-0.013794638689845443,-0.2991697384051937,-0.5080022978845332
-0.01510471574206048,-0.30831984137116963,-0.5125023925320923
-0.016415156821408292,-0.3174723170362117,-0.5170024912025036
-0.01772596072879315,-0.3266271575847846,-0.5215025938837156
-0.01403582187560244,-0.33578435365454784,-0.5260026848193887
-0.010344743349947557,-0.34494389776262335,-0.5305027752902053
-0.00665272822217645,-0.3541057822368771,-0.5350028652990119
-0.0029597795450071137,-0.3632699994492285,-0.5395029548486346
0.0007340997459126515,-0.37243654183910224,-0.5440030439415889
-0.005573671831364956,-0.37660411559765744,-0.5485030849860021
-0.011883088652995453,-0.3807727168311556,-0.5530031346348435
-0.01819414540275821,-0.3849423422195628,-0.5575031928610886
-0.014504277686849431,-0.38911298652730336,-0.562003225122237
-0.010813488473913108,-0.39328464706842264,-0.5665032545109311
-0.0071217807158664445,-0.3974573205875329,-0.5710032810367606
-0.013431377234564335,-0.40163073253554626,-0.5805033317480809
-0.019742283307986542,-0.405804956070273,-0.5900033893167053
-0.026054495573592473,-0.40997998910781136,-0.5995034537255247
-0.017365387906195847,-0.4141555464539684,-0.614003477122408
-0.008674975570205653,-0.4183317063066185,-0.6285034977966265
1.6738939342733197e-05,-0.42250846751354004,-0.6430035157538175
0.008709753135807623,-0.42668582892638784,-0.6575035309995979
-0.0026001143326827947,-0.42086183517401465,-0.6620034347362876
-0.013912839152599995,-0.41503632792030465,-0.6665033595113786
-0.025228412319672235,-0.40920931193468413,-0.6710033052607453
-0.036546824879495995,-0.4033807919601651,-0.675503271920611
-0.047868067851449134,-0.3975507727133528,-0.6800032594270652
-0.04418866175582415,-0.3967207783400489,-0.6695032514235014
-0.04050854211134759,-0.39589059108164676,-0.6590032413873191
-0.03682771064598707,-0.3950602114052467,-0.6485032293235552
-0.028145089765756737,-0.39923033154585025,-0.6580032661888916
-0.019460763814090096,-0.403401239614738,-0.6675032994965805
-0.01077473703123206,-0.40757293365246355,-0.677003329256208
-0.012088905634619467,-0.40674440100123005,-0.6915033143376897
-0.013403283529669992,-0.40591571625016126,-0.7060033004523228
-0.014717870326772882,-0.40508687968240004,-0.7205032875981977
-0.016032665637593316,-0.4042578915801619,-0.735003275773411
-0.007345389016455514,-0.3934263651217811,-0.7395030884155714
0.0013439846526228144,-0.38259216058012807,-0.7440029050235933
0.010035448962567113,-0.371755286137497,-0.7485027255877689
0.013727760211235186,-0.3759194948738206,-0.7430027500507287
0.017420932852656636,-0.3800846519108755,-0.7375027718333126
0.02111496432946419,-0.3842507544332818,-0.7320027909438179
0.02480985209763612,-0.38841779964035184,-0.7265028073905003
0.028505593626433328,-0.39258578476669487,-0.7210028211815701
0.032202037295000624,-0.396754325713239,-0.7305028328221607
0.03589916812824927,-0.4009236330712375,-0.7400028423192072
0.03959698446591015,-0.4050937049889576,-0.7495028496781125
0.04329548446354444,-0.40426358177011984,-0.7590027818742752
0.04699466676092189,-0.4034332638839973,-0.7685027121319777
0.05069452971835325,-0.40260275179841004,-0.7780026404559827
0.04439287191804804,-0.4067732579654475,-0.7825026496275768
0.038089697748912396,-0.4109447063990497,-0.787002666728143
0.03178501171511862,-0.41511709430034666,-0.7915026917347886
0.035481172814899174,-0.4342939468596976,-0.7960029450401022
0.039178177655945605,-0.4534752514768427,-0.800503209717844
0.042876023750371466,-0.47266099502421594,-0.805003485738747
0.05657729624608441,-0.48685034065619603,-0.8045036715752408
0.07028198688980876,-0.5010431884495321,-0.8040038612198911
0.08399008489058896,-0.5152395273480544,-0.803504054665643
0.09770157951734067,-0.5294393463569358,-0.8030042519054658
0.111416460115718,-0.543642634533561,-0.8025044529323143
0.1101310342381319,-0.5478469105631528,-0.7970043933615839
0.10884528808538087,-0.5520520630375949,-0.7915043351434933
0.10755922256349779,-0.5562580894775044,-0.7860042782743938
0.11127402359090378,-0.5654662022359819,-0.7855043459494923
0.11498970253246936,-0.5746765053454937,-0.7850044132149202
0.11870625666724464,-0.583888992017412,-0.7845044800731032
0.12242341958011796,-0.588101950334466,-0.7940044276349373
0.12614122475002512,-0.5923156132581382,-0.8035043732024608
0.12985967070084534,-0.5965299791690125,-0.8130043167804452
0.12857780179542008,-0.5957442050471612,-0.8175041232390835
0.12729560015348215,-0.594958171682714,-0.8220039313502044
0.12601306672005624,-0.5941718798119592,-0.8265037411091495
0.1247302024354489,-0.5933853301675086,-0.8310035525112877
0.12344700498298834,-0.5925986227606236,-0.8305033656593307
0.1221634575432057,-0.5918116400091704,-0.8300031805465807
0.12087956117835046,-0.5910243827488475,-0.8295029971677993
0.11959531694500539,-0.590236851810895,-0.8290028155177772
0.11831072596431358,-0.5894490480218468,-0.828502635591038
0.11702578971522312,-0.5936621693361568,-0.8280025741179732
0.11574050880039126,-0.597876212973115,-0.8275025141032911
0.11445488425397012,-0.6020911761653486,-0.8270024555428165
0.10816819295701365,-0.601306184955062,-0.8165022680174393
0.10188040773779243,-0.6005209995579076,-0.8060020863781644
0.09559153094699278,-0.599735620391163,-0.7955019106125972
0.09930339795917587,-0.5989496310037843,-0.8000017558133056
0.10301604135451674,-0.598163390797782,-0.8045015988405889
0.10672945899829472,-0.5973769004627993,-0.8090014397005624
0.11044364876610795,-0.5965901606851458,-0.8135012783993091
0.09915516934566333,-0.5958032730744494,-0.8130010897203211
0.0878640138343851,-0.5950161188682291,-0.812500918050371
0.07657019010111644,-0.5942286988503849,-0.8120007633409435
0.07027486992550787,-0.5784375178590005,-0.8115002862932
0.06397805902037647,-0.5626425873434082,-0.8109998325722273
0.05767976173971978,-0.5468439182548509,-0.81049940211327
0.05638115840069255,-0.5460449051996586,-0.8149992919321044
0.05508225039359664,-0.5452456548876343,-0.8194991832656223
0.053783038538627315,-0.5444461679574941,-0.8239990761097772
0.052483523652097894,-0.5436464450449312,-0.8284989704605429
0.046182540194768265,-0.5478477224943613,-0.8279989766577226
0.039880091496881015,-0.5520498926512523,-0.8274989905137838
0.03357618177553415,-0.5562529529463172,-0.8269990120072975
0.02226985931472673,-0.5604567298182016,-0.8314990527335261
0.010961126471703487,-0.564661328121726,-0.8359991085777495
-0.00035001034953129,-0.568866745674484,-0.840499179501149
0.008340317352890873,-0.5730727064466222,-0.8499992008979292
0.01703209486749863,-0.5772793208177095,-0.8594992192766072
0.025725319119373164,-0.5814865874015266,-0.8689992346441072
0.02941934699873452,-0.5906960818985939,-0.868499368756028
0.03311418991068527,-0.5999075740224105,-0.8679995024464325
0.03680984554980146,-0.609121058122432,-0.8674996357174828
0.040506311622122815,-0.6183365285762117,-0.866999768571321
0.04420358584507127,-0.6275539797892004,-0.8664999010100779
0.04790166594723026,-0.6367734062395238,-0.8660000330359207
0.04659945638306067,-0.6459945344623709,-0.8705001702323464
0.04529695590715265,-0.6552174837664497,-0.8750003105908942
0.043994165273124275,-0.6644422494342183,-0.8795004541040804
0.03769009060632357,-0.6686680441884948,-0.8740004769764006
0.03138474145969543,-0.6728946051190929,-0.8685005065080268
0.025078121039026895,-0.6771219302988022,-0.8630005426826689
0.02377128834493242,-0.6813494835028655,-0.8725005729464371
0.022464223169952523,-0.6855776618385224,-0.8820006041989558
0.021156925993688198,-0.6898064640161518,-0.891500636438277
0.0248503287690527,-0.6840344408917828,-0.8860003921467027
0.02854445361772046,-0.6782611922938625,-0.8805001481182636
0.032239298740290474,-0.6724867212762556,-0.8749999043527262
0.03593486234524638,-0.6667110308794455,-0.8694996608498516
0.02962939587099495,-0.6659347611352331,-0.8789995617234369
0.023322887087027455,-0.6651582998914298,-0.8884994682391986
0.01701533812027492,-0.6643816475388067,-0.8979993803858525
0.01070675109003414,-0.663604804466732,-0.9074992981521631
0.004397128175753812,-0.6628277710564675,-0.9169992215265851
0.003087216178625276,-0.6520486280421978,-0.9214988859811873
0.0017770268638507196,-0.6412672530671955,-0.9259985585279166
0.00046656092792031386,-0.6304836517370533,-0.930498239147502
0.009157481683446236,-0.6246989426824934,-0.9399980185770173
0.017849774961875314,-0.6189132503440465,-0.9494977971670778
0.026543438006736798,-0.613126576696462,-0.9589975749199663
0.030237807876584154,-0.612339795375509,-0.9634974757098728
0.03393288895531146,-0.6115527880656009,-0.9679973745023885
0.03762867947716775,-0.6107655553278102,-0.9724972713025887
0.0313232368671001,-0.60997834075862,-0.9669971834928356
0.025016572871316284,-0.609190908548909,-0.9614971022676074
0.018708690436354505,-0.6084032592237228,-0.955997027611338
0.022401159626842176,-0.6126153600554336,-0.9754970525901433
0.026093938590629962,-0.6168277967418436,-0.9949970766032553
0.029787026987478663,-0.6210405689140693,-1.0144970996517808
0.03348042447780688,-0.6252536762039402,-1.0339971217368218
0.03717413072268918,-0.6294671182439969,-1.0534971428594762
